id,host_id,host_since,host_is_superhost,host_listings_count,host_total_listings_count,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
4311137,12993311,3/10/14,f,4,4,t,District 2,32.79756,-96.75751,Private room in home,Private room,1,1,1,1,$55.0,5,100,5,5,100,100,5,100,t,22,52,82,357,34,4,0,10/25/14,11/26/23,4.88,4.94,4.79,5,4.97,4.91,4.97,f,4,0,4,0,0.3
4630130,22330135,10/9/14,t,1,2,t,District 12,32.99791,-96.80412,Entire home,Entire home/apt,8,2.5,3,3,$205.0,3,1125,3,3,1125,1125,3,1125,t,0,0,0,265,53,5,0,3/13/15,10/16/23,4.79,4.9,4.75,4.9,4.96,4.86,4.78,f,1,1,0,0,0.49
4671587,23751816,11/14/14,t,2,2,t,District 2,32.78085,-96.79107,Entire townhouse,Entire home/apt,6,3.5,3,3,$306.0,2,1125,2,30,1125,1125,10.9,1125,t,0,12,42,242,259,6,0,12/4/14,1/16/24,4.9,4.95,4.84,4.96,4.96,4.9,4.84,f,2,2,0,0,2.31
4725037,16468063,6/6/14,f,7,11,f,District 12,32.99379,-96.87141,Entire home,Entire home/apt,3,2,3,2,$300.0,6,1125,6,6,1125,1125,6,1125,t,30,60,90,365,20,0,0,2/18/18,8/8/21,4.8,4.85,4.55,5,5,5,5,f,2,2,0,0,0.27
4833160,9649521,10/26/13,t,1,1,t,District 14,32.80127,-96.78623,Private room in townhouse,Private room,1,1.5,1,1,$68.0,30,70,30,30,1125,1125,30,1125,t,0,0,0,0,319,37,0,1/12/15,11/25/23,4.97,4.98,4.97,4.97,4.99,4.95,4.95,f,1,0,1,0,2.87
4942190,25470993,1/1/15,t,3,3,t,District 9,32.85293,-96.74054,Entire guesthouse,Entire home/apt,4,1,1,2,$75.0,3,60,3,14,60,60,10.3,60,t,7,31,61,336,178,14,1,5/9/18,2/14/24,4.93,4.97,4.95,4.98,4.98,4.91,4.9,f,2,2,0,0,2.52
4979180,10435889,12/4/13,t,3,3,t,District 14,32.83063,-96.77932,Entire home,Entire home/apt,10,3,3,4,$754.0,2,365,2,4,1125,1125,2,1125,t,25,42,68,334,200,18,2,3/22/15,2/17/24,4.95,4.95,4.96,4.95,4.94,4.97,4.76,t,1,1,0,0,1.84
5019741,9761734,11/1/13,t,2,5,t,District 14,32.79689,-96.78413,Entire townhouse,Entire home/apt,5,2,3,3,$128.0,28,1125,28,28,1125,1125,28,1125,t,10,12,21,220,65,3,0,1/18/15,9/13/23,4.77,4.94,4.97,4.97,4.98,4.58,4.86,f,1,1,0,0,0.59
5164172,26711264,1/25/15,t,4,27,t,District 9,32.84642409,-96.71456569,Entire home,Entire home/apt,6,1.5,2,2,$167.0,8,365,8,8,365,365,8,365,t,0,0,5,95,0,0,0,,,,,,,,,,t,2,2,0,0,
5608008,9954289,11/12/13,t,1,1,t,District 1,32.74084,-96.86823,Entire guesthouse,Entire home/apt,2,1,1,1,$87.0,6,1125,6,6,1125,1125,6,1125,t,0,0,0,82,65,4,1,6/8/15,2/8/24,4.85,4.94,4.78,4.97,4.95,4.74,4.78,f,1,1,0,0,0.61
